nameA,nameB,A_rate,B_rate,draw_rate,total_games
bc_v4,kickoff8,0.201,0.799,0.402,2057
bc_v4,v5contested,0.349,0.651,0.698,2059
bc_v4,gen1,0.178,0.822,0.357,2056
bc_v4,gen2,0.135,0.865,0.271,2058
bc_v4,gen3,0.265,0.735,0.531,2048
bc_v4,league1,0.218,0.782,0.436,2059
kickoff8,v5contested,0.718,0.282,0.330,2057
kickoff8,gen1,0.371,0.629,0.328,2052
kickoff8,gen2,0.277,0.723,0.299,2051
kickoff8,gen3,0.360,0.640,0.407,2053
kickoff8,league1,0.346,0.654,0.376,2049
v5contested,gen1,0.233,0.767,0.298,2059
v5contested,gen2,0.136,0.864,0.224,2055
v5contested,gen3,0.239,0.761,0.348,2057
v5contested,league1,0.206,0.794,0.309,2056
gen1,gen2,0.369,0.631,0.337,2052
gen1,gen3,0.437,0.563,0.421,2053
gen1,league1,0.435,0.565,0.418,2057
gen2,gen3,0.530,0.470,0.404,2060
gen2,league1,0.505,0.495,0.418,2058
gen3,league1,0.526,0.474,0.522,2056
bc_v4,league2,0.153,0.847,0.305,2057
kickoff8,league2,0.345,0.655,0.330,2056
v5contested,league2,0.186,0.814,0.257,2058
gen1,league2,0.447,0.553,0.327,2051
gen2,league2,0.544,0.456,0.339,2055
gen3,league2,0.593,0.407,0.395,2056
league1,league2,0.547,0.453,0.394,2050
bc_v4,gen4,0.314,0.686,0.629,2048
kickoff8,gen4,0.369,0.631,0.435,2055
v5contested,gen4,0.276,0.724,0.430,2058
gen1,gen4,0.448,0.552,0.465,2056
gen2,gen4,0.510,0.490,0.464,2062
gen3,gen4,0.515,0.485,0.573,2057
league1,gen4,0.505,0.495,0.542,2048
league2,gen4,0.510,0.490,0.453,2054
bc_v4,exploiter1,0.241,0.759,0.482,2056
bc_v4,exploiter2,0.314,0.686,0.628,2052
bc_v4,exploiter3,0.260,0.740,0.521,2060
bc_v4,league4,0.299,0.701,0.597,2050
kickoff8,exploiter1,0.337,0.663,0.363,2053
kickoff8,exploiter2,0.499,0.501,0.456,2048
kickoff8,exploiter3,0.355,0.645,0.376,2049
kickoff8,league4,0.371,0.629,0.419,2057
v5contested,exploiter1,0.241,0.759,0.333,2049
v5contested,exploiter2,0.364,0.636,0.454,2053
v5contested,exploiter3,0.239,0.761,0.350,2049
v5contested,league4,0.283,0.717,0.424,2058
gen1,exploiter1,0.449,0.551,0.398,2057
gen1,exploiter2,0.572,0.428,0.423,2058
gen1,exploiter3,0.458,0.542,0.396,2053
gen1,league4,0.442,0.558,0.454,2049
gen2,exploiter1,0.518,0.482,0.382,2060
gen2,exploiter2,0.608,0.392,0.404,2048
gen2,exploiter3,0.548,0.452,0.383,2065
gen2,league4,0.484,0.516,0.447,2048
gen3,exploiter1,0.555,0.445,0.441,2048
gen3,exploiter2,0.607,0.393,0.504,2052
gen3,exploiter3,0.532,0.468,0.455,2053
gen3,league4,0.509,0.491,0.558,2053
league1,exploiter1,0.516,0.484,0.493,2055
league1,exploiter2,0.592,0.408,0.503,2050
league1,exploiter3,0.537,0.463,0.483,2059
league1,league4,0.487,0.513,0.572,2052
exploiter1,exploiter2,0.567,0.433,0.507,2054
exploiter1,exploiter3,0.536,0.464,0.422,2055
exploiter1,league4,0.481,0.519,0.535,2048
exploiter2,exploiter3,0.578,0.422,0.476,2048
exploiter2,league4,0.523,0.477,0.556,2048
exploiter3,league4,0.479,0.521,0.517,2051
bc_v4,exploiter4,0.187,0.813,0.374,2050
kickoff8,exploiter4,0.406,0.594,0.428,2054
v5contested,exploiter4,0.267,0.733,0.394,2056
gen1,exploiter4,0.477,0.523,0.415,2056
gen2,exploiter4,0.590,0.410,0.413,2048
gen3,exploiter4,0.575,0.425,0.501,2052
league1,exploiter4,0.528,0.472,0.469,2052
bc_v4,league5,0.270,0.730,0.541,2048
bc_v4,gen2cont1,0.265,0.735,0.531,2048
kickoff8,league5,0.303,0.697,0.390,2056
kickoff8,gen2cont1,0.360,0.640,0.407,2053
v5contested,league5,0.235,0.765,0.373,2050
v5contested,gen2cont1,0.239,0.761,0.348,2057
gen1,league5,0.392,0.608,0.429,2051
gen1,gen2cont1,0.437,0.563,0.421,2053
gen2,league5,0.439,0.561,0.451,2049
gen2,gen2cont1,0.530,0.470,0.404,2060
gen3,league5,0.445,0.555,0.528,2055
gen3,gen2cont1,0.553,0.447,0.450,2053
league1,league5,0.429,0.571,0.521,2059
league1,gen2cont1,0.527,0.473,0.512,2048
league5,gen2cont1,0.649,0.351,0.465,2051
